Wall time,Step,Value
1638816079.7237766,3115,111.0
1638816081.739765,3119,111.0
1638816082.2428713,3120,111.0
1638816082.745411,3121,111.0
1638816086.2674167,3128,111.0
1638816094.8230152,3145,111.0
1638816108.9014907,3173,129.0
1638816118.4567125,3192,119.0
1638816121.977343,3199,119.0
1638816124.4914987,3204,142.0
1638816131.0302994,3217,142.0
1638816132.5372279,3220,142.0
1638816137.063353,3229,304.0
1638816143.0970063,3241,304.0
1638816155.1602788,3265,304.0
1638816156.6688344,3268,304.0
1638816175.7739623,3306,350.0
1638816192.8766572,3340,127.0
1638816200.9198022,3356,127.0
1638816209.970451,3374,127.0
1638816215.499211,3385,700.0
1638816219.5215418,3393,700.0
1638816225.0517325,3404,301.0
1638816232.092252,3418,122.0
1638816253.7182503,3461,163.0
1638816264.780583,3483,295.0
1638816265.2839077,3484,295.0
1638816268.802353,3491,295.0
1638816269.813963,3493,295.0
1638816273.3336015,3500,335.0
1638816286.404551,3526,104.0
1638816295.457658,3544,152.0
1638816306.5435586,3566,152.0
1638816308.0516908,3569,152.0
1638816311.572264,3576,152.0
1638816317.6068168,3588,152.0
1638816323.6407306,3600,700.0
1638816330.1767528,3613,700.0
1638816330.6799142,3614,700.0
1638816331.684626,3616,700.0
1638816338.725448,3630,230.0
1638816350.7945979,3654,230.0
1638816352.3031967,3657,230.0
1638816353.3088038,3659,230.0
1638816354.314743,3661,230.0
1638816355.8240294,3664,230.0
1638816357.8356826,3668,230.0
1638816359.344203,3671,230.0
1638816368.9003458,3690,700.0
1638816373.9317508,3700,153.0
1638816379.9663224,3712,153.0
1638816382.4798896,3717,243.0
1638816396.5545468,3745,243.0
1638816398.0638294,3748,243.0
1638816400.5786035,3753,243.0
1638816401.0811057,3754,243.0
1638816404.6026192,3761,243.0
1638816405.6079516,3763,243.0
1638816415.1612942,3782,700.0
1638816415.6639092,3783,700.0
1638816417.6755571,3787,700.0
1638816419.1840508,3790,700.0
1638816448.3490317,3848,700.0
1638816449.3584034,3850,700.0
1638816454.387761,3860,700.0
1638816458.9129808,3869,700.0
1638816475.51237,3902,700.0
1638816480.0376344,3911,700.0
1638816482.0485556,3915,700.0
1638816485.0655754,3921,700.0
